Time,M1SupplyVoltage,M1Current,M1Speed,M2SupplyVoltage,M2Current,M2Speed
0.010000,4.082417,0.110769,-0.000000,4.082417,0.089670,0.000000,
0.020000,5.083297,0.211868,-0.641665,5.083297,0.179341,0.641665,
0.030000,5.914945,0.185495,-1.283330,5.914945,0.177582,1.283330,
0.040000,4.812528,0.180220,-3.208326,4.812528,0.184615,3.208326,
0.050000,5.097802,0.159121,-3.849991,5.097802,0.153846,3.849991,
0.060000,5.257363,0.151209,-5.133321,5.257363,0.139780,5.133321,
0.070000,4.522418,0.145055,-5.774986,4.522418,0.147692,5.774986,
0.080000,5.397582,0.145934,-7.058317,5.397582,0.126593,7.058317,
0.090000,4.846374,0.125714,-7.699982,4.846374,0.119560,8.341647,
0.100000,4.498242,0.122198,-8.341647,4.498242,0.148571,8.341647,
0.110000,5.315384,0.136264,-8.983312,5.315384,0.114286,8.983312,
0.120000,4.488572,0.128352,-9.624977,4.488572,0.113407,10.266643,
0.130000,4.870550,0.125714,-10.908308,4.870550,0.109011,10.266643,
0.140000,5.015604,0.145934,-10.908308,5.015604,0.098462,11.549973,
0.150000,4.058242,0.104615,-11.549973,4.058242,0.133626,11.549973,
0.160000,5.296044,0.105495,-12.191638,5.296044,0.095824,12.833303,
0.170000,4.575604,0.107253,-12.833303,4.575604,0.087912,12.191638,
0.180000,4.164615,0.100220,-12.833303,4.164615,0.097582,13.474968,
0.190000,5.001099,0.123956,-13.474968,5.001099,0.090549,13.474968,
0.200000,4.440220,0.101099,-14.116634,4.440220,0.081758,14.116634,
0.210000,4.503077,0.105495,-14.758299,4.503077,0.083516,14.758299,
0.220000,4.720659,0.101978,-14.758299,4.720659,0.085275,14.758299,
0.230000,4.222638,0.101099,-15.399964,4.222638,0.087912,15.399964,
0.240000,5.054286,0.101978,-16.041629,5.054286,0.082637,16.041629,
0.250000,4.556263,0.093187,-16.041629,4.556263,0.081758,16.041629,
0.260000,4.280659,0.103736,-16.041629,4.280659,0.084396,16.683294,
0.270000,5.083297,0.091429,-17.324959,5.083297,0.089670,16.683294,
0.280000,4.193626,0.095824,-16.683294,4.193626,0.080000,17.324959,
0.290000,4.609451,0.094066,-17.324959,4.609451,0.080879,17.324959,
0.300000,4.628791,0.088791,-17.966625,4.628791,0.080879,17.966625,
0.310000,4.198462,0.094945,-17.966625,4.198462,0.080000,17.966625,
0.320000,4.880220,0.094066,-18.608290,4.880220,0.080879,17.966625,
0.330000,4.532088,0.093187,-18.608290,4.532088,0.082637,18.608290,
0.340000,4.377363,0.094945,-18.608290,4.377363,0.076484,19.249955,
0.350000,4.904396,0.107253,-18.608290,4.904396,0.077363,18.608290,
0.360000,4.333846,0.102857,-19.891620,4.333846,0.080879,19.249955,
0.370000,4.580440,0.089670,-19.249955,4.580440,0.075604,19.891620,
0.380000,4.614286,0.089670,-19.891620,4.614286,0.058901,19.891620,
0.390000,4.270989,0.091429,-19.891620,4.270989,0.076484,19.891620,
0.400000,4.986593,0.091429,-19.891620,4.986593,0.075604,19.891620,
0.410000,4.740000,0.091429,-20.533285,4.740000,0.073846,20.533285,
0.420000,4.212967,0.091429,-20.533285,4.212967,0.074725,20.533285,
0.430000,5.015604,0.091429,-20.533285,5.015604,0.076484,21.174950,
0.440000,4.348351,0.091429,-21.174950,4.348351,0.074725,20.533285,
0.450000,4.720659,0.091429,-20.533285,4.720659,0.078242,21.174950,
0.460000,4.580440,0.089670,-21.174950,4.580440,0.079121,21.174950,
0.470000,3.811649,0.088791,-21.174950,3.811649,0.079121,21.174950,
0.480000,4.972088,0.088791,-21.174950,4.972088,0.078242,21.174950,
0.490000,4.295165,0.095824,-21.816616,4.295165,0.074725,21.816616,
0.500000,4.411209,0.082637,-21.816616,4.411209,0.074725,21.816616,
0.510000,4.822197,0.088791,-21.816616,4.822197,0.088791,21.816616,
0.520000,4.319341,0.087033,-22.458281,4.319341,0.073846,21.816616,
0.530000,4.203297,0.088791,-21.816616,4.203297,0.072967,21.816616,
0.540000,4.512747,0.087033,-22.458281,4.512747,0.074725,22.458281,
0.550000,4.266154,0.087033,-22.458281,4.266154,0.073846,22.458281,
0.560000,5.001099,0.090549,-22.458281,5.001099,0.073846,22.458281,
0.570000,4.300000,0.088791,-22.458281,4.300000,0.077363,22.458281,
0.580000,4.275824,0.100220,-23.099946,4.275824,0.075604,22.458281,
0.590000,4.783516,0.086154,-22.458281,4.783516,0.105495,22.458281,
0.600000,4.125934,0.087033,-23.099946,4.125934,0.071209,22.458281,
0.610000,4.628791,0.087912,-23.741611,4.628791,0.072088,23.741611,
0.620000,4.541758,0.088791,-23.099946,4.541758,0.079121,22.458281,
0.630000,4.125934,0.087033,-23.099946,4.125934,0.072088,23.099946,
0.640000,4.841538,0.087033,-23.099946,4.841538,0.077363,23.099946,
0.650000,4.319341,0.098462,-23.099946,4.319341,0.072967,23.099946,
0.660000,4.420879,0.087912,-23.741611,4.420879,0.113407,23.099946,
0.670000,4.957582,0.086154,-23.741611,4.957582,0.072088,23.741611,
0.680000,4.203297,0.088791,-23.099946,4.203297,0.072967,23.099946,
0.690000,4.546593,0.085275,-23.741611,4.546593,0.070330,23.099946,
0.700000,4.522418,0.087912,-23.741611,4.522418,0.073846,23.741611,
0.710000,4.280659,0.088791,-23.741611,4.280659,0.077363,23.741611,
0.720000,4.947912,0.087033,-23.741611,4.947912,0.072967,23.099946,
0.730000,4.251648,0.084396,-23.741611,4.251648,0.072967,23.741611,
0.740000,4.256484,0.085275,-23.741611,4.256484,0.113407,23.741611,
