α,θ,L Enc,R Enc,L_u,R_u,X,Y,θ,error,L_P,R_P,L_I,R_I,L_D,R_D
3.117274,-2.265465,0,0,0.007464,-0.006698,0.000000,0.000000,0.000000,0.000458,0.008244,0.008244,0.000000,0.000000,-0.000780,-0.000780
3.117598,-2.265302,0,0,0.003184,-0.002857,0.000000,0.000000,0.000000,0.000134,0.002412,0.002412,0.000000,0.000000,0.000772,0.000772
3.117024,-2.265260,0,0,0.015600,-0.013997,0.000000,0.000000,0.000000,0.000708,0.012746,0.012746,0.000000,0.000000,0.002854,0.002854
3.116304,-2.265196,0,0,0.026968,-0.024198,0.000000,0.000000,0.000000,0.001428,0.025702,0.025702,0.000000,0.000000,0.001266,0.001266
3.115644,-2.265076,0,0,0.038710,-0.034733,0.000000,0.000000,0.000000,0.002087,0.037572,0.037572,0.000000,0.000000,0.001137,0.001137
3.115496,-2.264688,0,0,0.040807,-0.036615,0.000000,0.000000,0.000000,0.002236,0.040242,0.040242,0.000000,0.000000,0.000565,0.000565
3.114840,-2.264549,0,0,0.054309,-0.048731,0.000000,0.000000,0.000000,0.002892,0.052056,0.052056,0.000000,0.000000,0.002253,0.002253
3.114835,-2.264443,0,0,0.051245,-0.045981,0.000000,0.000000,0.000000,0.002897,0.052146,0.052146,0.000000,0.000000,-0.000901,-0.000901
3.114827,-2.264560,0,0,0.052351,-0.046974,0.000000,0.000000,0.000000,0.002904,0.052279,0.052279,0.000000,0.000000,0.000072,0.000072
3.114376,-2.264732,0,0,0.062997,-0.056526,0.000000,0.000000,0.000000,0.003356,0.060408,0.060408,0.000000,0.000000,0.002589,0.002589
3.114163,-2.264454,0,0,0.063107,-0.056625,0.000000,0.000000,0.000000,0.003569,0.064244,0.064244,0.000000,0.000000,-0.001137,-0.001137
3.114524,-2.264266,0,0,0.057564,-0.051651,0.000000,0.000000,0.000000,0.003208,0.057743,0.057743,0.000000,0.000000,-0.000179,-0.000179
3.113956,-2.264195,0,0,0.067748,-0.060789,0.000000,0.000000,0.000000,0.003776,0.067969,0.067969,0.000000,0.000000,-0.000222,-0.000222
